City,month,NO2
Vienna (Austria),2018-01-01,27.3
Brussels (Belgium),2018-01-01,33.2
Sofia (Bulgaria),2018-01-01,49.8
Bern (Switzerland),2018-01-01,25.5
Nicosia (Cyprus),2018-01-01,29.7
Prague (Czech Republic),2018-01-01,27.1
Berlin (Germany),2018-01-01,33.3
Copenhagen (Denmark),2018-01-01,22.1
Tallinn (Estonia),2018-01-01,12.5
Athens (Greece),2018-01-01,35.6
Madrid (Spain),2018-01-01,47.2
EU27 (aggregate),2018-01-01,31.9
Helsinki (Finland),2018-01-01,21.0
Paris (France),2018-01-01,36.7
Zagreb (Croatia),2018-01-01,37.6
Budapest (Hungary),2018-01-01,33.8
Dublin (Ireland),2018-01-01,22.7
Reykjavik (Iceland),2018-01-01,20.4
Rome (Italy),2018-01-01,52.6
Vilnius (Lithuania),2018-01-01,16.4
Luxembourg (Luxembourg),2018-01-01,32.7
Riga (Latvia),2018-01-01,27.8
Valletta (Malta),2018-01-01,30.6
Amsterdam (Netherlands),2018-01-01,31.6
Oslo (Norway),2018-01-01,43.3
Warsaw (Poland),2018-01-01,29.1
Lisbon (Portugal),2018-01-01,31.6
Bucharest (Romania),2018-01-01,50.3
Stockholm (Sweden),2018-01-01,26.9
Ljubljana (Slovenia),2018-01-01,35.5
Bratislava (Slovakia),2018-01-01,27.4
Vienna (Austria),2018-02-01,29.2
Brussels (Belgium),2018-02-01,41.7
Sofia (Bulgaria),2018-02-01,30.0
Bern (Switzerland),2018-02-01,29.1
Nicosia (Cyprus),2018-02-01,30.7
Prague (Czech Republic),2018-02-01,34.3
Berlin (Germany),2018-02-01,38.7
Copenhagen (Denmark),2018-02-01,23.1
Tallinn (Estonia),2018-02-01,15.4
Athens (Greece),2018-02-01,32.1
Madrid (Spain),2018-02-01,44.3
EU27 (aggregate),2018-02-01,34.1
Helsinki (Finland),2018-02-01,28.7
Paris (France),2018-02-01,45.0
Zagreb (Croatia),2018-02-01,37.6
Budapest (Hungary),2018-02-01,35.2
Dublin (Ireland),2018-02-01,25.8
Reykjavik (Iceland),2018-02-01,12.0
Rome (Italy),2018-02-01,48.7
Vilnius (Lithuania),2018-02-01,31.2
Luxembourg (Luxembourg),2018-02-01,39.4
Riga (Latvia),2018-02-01,39.7
Valletta (Malta),2018-02-01,26.9
Amsterdam (Netherlands),2018-02-01,34.3
Oslo (Norway),2018-02-01,38.7
Warsaw (Poland),2018-02-01,35.6
Lisbon (Portugal),2018-02-01,28.7
Bucharest (Romania),2018-02-01,45.5
Stockholm (Sweden),2018-02-01,32.9
Ljubljana (Slovenia),2018-02-01,36.8
Bratislava (Slovakia),2018-02-01,30.7
Vienna (Austria),2018-03-01,32.0
Brussels (Belgium),2018-03-01,38.4
Sofia (Bulgaria),2018-03-01,33.1
Bern (Switzerland),2018-03-01,32.4
Nicosia (Cyprus),2018-03-01,22.9
Prague (Czech Republic),2018-03-01,33.9
Berlin (Germany),2018-03-01,36.6
Copenhagen (Denmark),2018-03-01,26.1
Tallinn (Estonia),2018-03-01,15.8
Athens (Greece),2018-03-01,34.9
Madrid (Spain),2018-03-01,27.3
EU27 (aggregate),2018-03-01,32.8
Helsinki (Finland),2018-03-01,26.1
Paris (France),2018-03-01,45.6
Zagreb (Croatia),2018-03-01,41.9
Budapest (Hungary),2018-03-01,35.7
Dublin (Ireland),2018-03-01,29.1
Reykjavik (Iceland),2018-03-01,12.0
Rome (Italy),2018-03-01,43.7
Vilnius (Lithuania),2018-03-01,28.8
Luxembourg (Luxembourg),2018-03-01,39.3
Riga (Latvia),2018-03-01,28.7
Valletta (Malta),2018-03-01,21.8
Amsterdam (Netherlands),2018-03-01,35.0
Oslo (Norway),2018-03-01,37.7
Warsaw (Poland),2018-03-01,37.2
Lisbon (Portugal),2018-03-01,19.8
Bucharest (Romania),2018-03-01,59.4
Stockholm (Sweden),2018-03-01,31.7
Ljubljana (Slovenia),2018-03-01,32.4
Bratislava (Slovakia),2018-03-01,29.7
Vienna (Austria),2018-04-01,24.9
Brussels (Belgium),2018-04-01,33.4
Sofia (Bulgaria),2018-04-01,26.5
Bern (Switzerland),2018-04-01,22.6
Nicosia (Cyprus),2018-04-01,19.2
Prague (Czech Republic),2018-04-01,30.6
Berlin (Germany),2018-04-01,34.9
Copenhagen (Denmark),2018-04-01,23.4
Tallinn (Estonia),2018-04-01,12.5
Athens (Greece),2018-04-01,44.1
Madrid (Spain),2018-04-01,29.4
EU27 (aggregate),2018-04-01,29.5
Helsinki (Finland),2018-04-01,25.3
Paris (France),2018-04-01,41.5
Zagreb (Croatia),2018-04-01,34.4
Budapest (Hungary),2018-04-01,27.0
Dublin (Ireland),2018-04-01,21.4
Reykjavik (Iceland),2018-04-01,7.8
Rome (Italy),2018-04-01,40.8
Vilnius (Lithuania),2018-04-01,22.4
Luxembourg (Luxembourg),2018-04-01,37.1
Riga (Latvia),2018-04-01,20.5
Valletta (Malta),2018-04-01,31.8
Amsterdam (Netherlands),2018-04-01,34.2
Oslo (Norway),2018-04-01,34.6
Warsaw (Poland),2018-04-01,37.1
Lisbon (Portugal),2018-04-01,23.6
Bucharest (Romania),2018-04-01,48.6
Stockholm (Sweden),2018-04-01,27.2
Ljubljana (Slovenia),2018-04-01,22.3
Bratislava (Slovakia),2018-04-01,22.2
Vienna (Austria),2018-05-01,22.1
Brussels (Belgium),2018-05-01,33.0
Sofia (Bulgaria),2018-05-01,23.5
Bern (Switzerland),2018-05-01,17.8
Nicosia (Cyprus),2018-05-01,17.8
Prague (Czech Republic),2018-05-01,26.1
Berlin (Germany),2018-05-01,25.3
Copenhagen (Denmark),2018-05-01,28.5
Tallinn (Estonia),2018-05-01,12.8
Athens (Greece),2018-05-01,34.1
Madrid (Spain),2018-05-01,28.1
EU27 (aggregate),2018-05-01,27.3
Helsinki (Finland),2018-05-01,24.9
Paris (France),2018-05-01,35.8
Budapest (Hungary),2018-05-01,26.1
Dublin (Ireland),2018-05-01,28.2
Reykjavik (Iceland),2018-05-01,7.0
Rome (Italy),2018-05-01,32.5
Vilnius (Lithuania),2018-05-01,21.0
Luxembourg (Luxembourg),2018-05-01,28.3
Riga (Latvia),2018-05-01,30.4
Valletta (Malta),2018-05-01,30.9
Amsterdam (Netherlands),2018-05-01,29.4
Oslo (Norway),2018-05-01,30.7
Warsaw (Poland),2018-05-01,30.4
Lisbon (Portugal),2018-05-01,22.3
Bucharest (Romania),2018-05-01,49.7
Stockholm (Sweden),2018-05-01,27.8
Ljubljana (Slovenia),2018-05-01,19.6
Bratislava (Slovakia),2018-05-01,21.0
Vienna (Austria),2018-06-01,18.2
Brussels (Belgium),2018-06-01,26.0
Sofia (Bulgaria),2018-06-01,21.1
Bern (Switzerland),2018-06-01,15.6
Nicosia (Cyprus),2018-06-01,12.7
Prague (Czech Republic),2018-06-01,23.2
Berlin (Germany),2018-06-01,26.2
Copenhagen (Denmark),2018-06-01,20.1
Tallinn (Estonia),2018-06-01,4.9
Athens (Greece),2018-06-01,34.9
Madrid (Spain),2018-06-01,25.6
EU27 (aggregate),2018-06-01,23.9
Helsinki (Finland),2018-06-01,16.0
Paris (France),2018-06-01,31.1
Zagreb (Croatia),2018-06-01,22.0
Budapest (Hungary),2018-06-01,22.2
Dublin (Ireland),2018-06-01,26.1
Reykjavik (Iceland),2018-06-01,7.5
Rome (Italy),2018-06-01,28.6
Vilnius (Lithuania),2018-06-01,19.5
Luxembourg (Luxembourg),2018-06-01,25.9
Valletta (Malta),2018-06-01,32.1
Amsterdam (Netherlands),2018-06-01,21.4
Oslo (Norway),2018-06-01,21.9
Warsaw (Poland),2018-06-01,35.8
Lisbon (Portugal),2018-06-01,19.7
Bucharest (Romania),2018-06-01,51.8
Stockholm (Sweden),2018-06-01,19.6
Ljubljana (Slovenia),2018-06-01,17.3
Bratislava (Slovakia),2018-06-01,18.3
Vienna (Austria),2018-07-01,19.0
Brussels (Belgium),2018-07-01,28.1
Sofia (Bulgaria),2018-07-01,17.7
Bern (Switzerland),2018-07-01,17.7
Nicosia (Cyprus),2018-07-01,13.9
Prague (Czech Republic),2018-07-01,25.2
Berlin (Germany),2018-07-01,26.2
Copenhagen (Denmark),2018-07-01,19.1
Tallinn (Estonia),2018-07-01,10.9
Athens (Greece),2018-07-01,38.0
Madrid (Spain),2018-07-01,26.1
EU27 (aggregate),2018-07-01,24.0
Helsinki (Finland),2018-07-01,17.1
Paris (France),2018-07-01,36.5
Zagreb (Croatia),2018-07-01,24.8
Budapest (Hungary),2018-07-01,22.4
Dublin (Ireland),2018-07-01,17.0
Reykjavik (Iceland),2018-07-01,5.8
Rome (Italy),2018-07-01,29.1
Vilnius (Lithuania),2018-07-01,14.6
Luxembourg (Luxembourg),2018-07-01,32.0
Valletta (Malta),2018-07-01,35.6
Amsterdam (Netherlands),2018-07-01,24.0
Oslo (Norway),2018-07-01,22.0
Warsaw (Poland),2018-07-01,34.1
Lisbon (Portugal),2018-07-01,15.5
Bucharest (Romania),2018-07-01,40.4
Stockholm (Sweden),2018-07-01,20.4
Ljubljana (Slovenia),2018-07-01,17.0
Bratislava (Slovakia),2018-07-01,18.8
Vienna (Austria),2018-08-01,22.4
Brussels (Belgium),2018-08-01,22.9
Sofia (Bulgaria),2018-08-01,19.7
Bern (Switzerland),2018-08-01,17.4
Nicosia (Cyprus),2018-08-01,12.3
Prague (Czech Republic),2018-08-01,29.0
Berlin (Germany),2018-08-01,31.4
Copenhagen (Denmark),2018-08-01,21.1
Tallinn (Estonia),2018-08-01,6.7
Athens (Greece),2018-08-01,27.9
Madrid (Spain),2018-08-01,27.6
EU27 (aggregate),2018-08-01,25.2
Helsinki (Finland),2018-08-01,20.7
Paris (France),2018-08-01,27.6
Zagreb (Croatia),2018-08-01,28.0
Budapest (Hungary),2018-08-01,28.5
Dublin (Ireland),2018-08-01,13.2
Reykjavik (Iceland),2018-08-01,4.8
Rome (Italy),2018-08-01,27.0
Vilnius (Lithuania),2018-08-01,19.9
Luxembourg (Luxembourg),2018-08-01,35.1
Riga (Latvia),2018-08-01,28.6
Valletta (Malta),2018-08-01,30.3
Amsterdam (Netherlands),2018-08-01,26.3
Oslo (Norway),2018-08-01,24.2
Warsaw (Poland),2018-08-01,35.9
Lisbon (Portugal),2018-08-01,26.5
Bucharest (Romania),2018-08-01,48.6
Stockholm (Sweden),2018-08-01,20.5
Ljubljana (Slovenia),2018-08-01,18.9
Bratislava (Slovakia),2018-08-01,23.5
Vienna (Austria),2018-09-01,26.7
Brussels (Belgium),2018-09-01,31.6
Sofia (Bulgaria),2018-09-01,19.7
Bern (Switzerland),2018-09-01,21.8
Nicosia (Cyprus),2018-09-01,20.2
Prague (Czech Republic),2018-09-01,33.0
Berlin (Germany),2018-09-01,36.2
Copenhagen (Denmark),2018-09-01,20.8
Tallinn (Estonia),2018-09-01,7.1
Athens (Greece),2018-09-01,36.5
Madrid (Spain),2018-09-01,36.6
EU27 (aggregate),2018-09-01,29.4
Helsinki (Finland),2018-09-01,18.3
Paris (France),2018-09-01,40.7
Zagreb (Croatia),2018-09-01,32.8
Budapest (Hungary),2018-09-01,35.4
Dublin (Ireland),2018-09-01,17.7
Reykjavik (Iceland),2018-09-01,7.7
Rome (Italy),2018-09-01,38.1
Vilnius (Lithuania),2018-09-01,25.9
Luxembourg (Luxembourg),2018-09-01,36.5
Riga (Latvia),2018-09-01,18.1
Valletta (Malta),2018-09-01,36.5
Amsterdam (Netherlands),2018-09-01,31.4
Oslo (Norway),2018-09-01,24.4
Warsaw (Poland),2018-09-01,38.9
Lisbon (Portugal),2018-09-01,30.6
Bucharest (Romania),2018-09-01,52.5
Stockholm (Sweden),2018-09-01,20.6
Ljubljana (Slovenia),2018-09-01,23.9
Bratislava (Slovakia),2018-09-01,26.7
Vienna (Austria),2018-10-01,26.9
Brussels (Belgium),2018-10-01,36.8
Sofia (Bulgaria),2018-10-01,29.3
Bern (Switzerland),2018-10-01,28.4
Nicosia (Cyprus),2018-10-01,31.5
Prague (Czech Republic),2018-10-01,36.1
Berlin (Germany),2018-10-01,39.8
Copenhagen (Denmark),2018-10-01,25.5
Tallinn (Estonia),2018-10-01,8.4
Athens (Greece),2018-10-01,39.5
Madrid (Spain),2018-10-01,38.8
EU27 (aggregate),2018-10-01,33.8
Helsinki (Finland),2018-10-01,21.7
Paris (France),2018-10-01,43.4
Zagreb (Croatia),2018-10-01,35.3
Budapest (Hungary),2018-10-01,40.7
Dublin (Ireland),2018-10-01,25.7
Reykjavik (Iceland),2018-10-01,10.1
Rome (Italy),2018-10-01,42.4
Vilnius (Lithuania),2018-10-01,26.1
Luxembourg (Luxembourg),2018-10-01,34.6
Riga (Latvia),2018-10-01,25.4
Valletta (Malta),2018-10-01,45.1
Amsterdam (Netherlands),2018-10-01,35.2
Oslo (Norway),2018-10-01,32.3
Warsaw (Poland),2018-10-01,40.3
Lisbon (Portugal),2018-10-01,34.4
Bucharest (Romania),2018-10-01,68.0
Stockholm (Sweden),2018-10-01,24.0
Ljubljana (Slovenia),2018-10-01,29.9
Bratislava (Slovakia),2018-10-01,28.0
Vienna (Austria),2018-11-01,28.3
Brussels (Belgium),2018-11-01,36.7
Sofia (Bulgaria),2018-11-01,28.1
Bern (Switzerland),2018-11-01,27.6
Nicosia (Cyprus),2018-11-01,41.5
Prague (Czech Republic),2018-11-01,33.5
Berlin (Germany),2018-11-01,34.8
Copenhagen (Denmark),2018-11-01,27.4
Tallinn (Estonia),2018-11-01,8.5
Athens (Greece),2018-11-01,34.9
Madrid (Spain),2018-11-01,38.3
EU27 (aggregate),2018-11-01,31.6
Helsinki (Finland),2018-11-01,20.4
Paris (France),2018-11-01,41.0
Zagreb (Croatia),2018-11-01,21.9
Budapest (Hungary),2018-11-01,33.7
Dublin (Ireland),2018-11-01,25.5
Reykjavik (Iceland),2018-11-01,17.5
Rome (Italy),2018-11-01,45.4
Vilnius (Lithuania),2018-11-01,18.0
Luxembourg (Luxembourg),2018-11-01,35.9
Riga (Latvia),2018-11-01,27.9
Valletta (Malta),2018-11-01,46.6
Amsterdam (Netherlands),2018-11-01,34.6
Oslo (Norway),2018-11-01,36.4
Warsaw (Poland),2018-11-01,29.2
Lisbon (Portugal),2018-11-01,34.4
Bucharest (Romania),2018-11-01,48.1
Stockholm (Sweden),2018-11-01,25.6
Ljubljana (Slovenia),2018-11-01,23.7
Bratislava (Slovakia),2018-11-01,28.2
Vienna (Austria),2018-12-01,26.9
Brussels (Belgium),2018-12-01,35.8
Sofia (Bulgaria),2018-12-01,35.8
Bern (Switzerland),2018-12-01,29.7
Nicosia (Cyprus),2018-12-01,36.1
Prague (Czech Republic),2018-12-01,27.2
Berlin (Germany),2018-12-01,29.7
Copenhagen (Denmark),2018-12-01,20.8
Tallinn (Estonia),2018-12-01,11.5
Athens (Greece),2018-12-01,37.6
Madrid (Spain),2018-12-01,52.4
EU27 (aggregate),2018-12-01,32.6
Helsinki (Finland),2018-12-01,18.1
Paris (France),2018-12-01,38.6
Zagreb (Croatia),2018-12-01,33.3
Budapest (Hungary),2018-12-01,34.3
Dublin (Ireland),2018-12-01,28.7
Reykjavik (Iceland),2018-12-01,12.9
Rome (Italy),2018-12-01,48.7
Vilnius (Lithuania),2018-12-01,22.4
Luxembourg (Luxembourg),2018-12-01,29.9
Riga (Latvia),2018-12-01,26.6
Valletta (Malta),2018-12-01,45.4
Amsterdam (Netherlands),2018-12-01,33.7
Oslo (Norway),2018-12-01,40.4
Warsaw (Poland),2018-12-01,29.9
Lisbon (Portugal),2018-12-01,39.1
Bucharest (Romania),2018-12-01,47.6
Stockholm (Sweden),2018-12-01,24.2
Ljubljana (Slovenia),2018-12-01,37.9
Bratislava (Slovakia),2018-12-01,27.1
Vienna (Austria),2019-01-01,26.3
Brussels (Belgium),2019-01-01,38.4
Sofia (Bulgaria),2019-01-01,31.1
Bern (Switzerland),2019-01-01,30.5
Nicosia (Cyprus),2019-01-01,38.3
Prague (Czech Republic),2019-01-01,26.9
Berlin (Germany),2019-01-01,31.1
Copenhagen (Denmark),2019-01-01,23.4
Tallinn (Estonia),2019-01-01,18.1
Athens (Greece),2019-01-01,34.3
Madrid (Spain),2019-01-01,54.1
EU27 (aggregate),2019-01-01,34.9
Helsinki (Finland),2019-01-01,28.0
Paris (France),2019-01-01,41.9
Zagreb (Croatia),2019-01-01,43.7
Budapest (Hungary),2019-01-01,35.5
Dublin (Ireland),2019-01-01,32.7
Reykjavik (Iceland),2019-01-01,16.5
Rome (Italy),2019-01-01,47.7
Vilnius (Lithuania),2019-01-01,25.5
Luxembourg (Luxembourg),2019-01-01,33.8
Riga (Latvia),2019-01-01,29.3
Valletta (Malta),2019-01-01,35.7
Amsterdam (Netherlands),2019-01-01,33.5
Oslo (Norway),2019-01-01,53.4
Warsaw (Poland),2019-01-01,32.9
Lisbon (Portugal),2019-01-01,37.5
Bucharest (Romania),2019-01-01,64.6
Stockholm (Sweden),2019-01-01,30.0
Ljubljana (Slovenia),2019-01-01,38.9
Bratislava (Slovakia),2019-01-01,28.2
Vienna (Austria),2019-02-01,32.7
Brussels (Belgium),2019-02-01,46.3
Sofia (Bulgaria),2019-02-01,28.7
Bern (Switzerland),2019-02-01,39.7
Nicosia (Cyprus),2019-02-01,31.6
Prague (Czech Republic),2019-02-01,36.7
Berlin (Germany),2019-02-01,42.3
Copenhagen (Denmark),2019-02-01,24.4
Tallinn (Estonia),2019-02-01,13.1
Athens (Greece),2019-02-01,33.8
Madrid (Spain),2019-02-01,54.8
EU27 (aggregate),2019-02-01,37.1
Helsinki (Finland),2019-02-01,19.6
Paris (France),2019-02-01,54.6
Zagreb (Croatia),2019-02-01,48.0
Budapest (Hungary),2019-02-01,41.8
Dublin (Ireland),2019-02-01,30.6
Reykjavik (Iceland),2019-02-01,14.5
Rome (Italy),2019-02-01,46.9
Vilnius (Lithuania),2019-02-01,21.4
Luxembourg (Luxembourg),2019-02-01,45.6
Riga (Latvia),2019-02-01,26.3
Amsterdam (Netherlands),2019-02-01,45.6
Oslo (Norway),2019-02-01,45.2
Warsaw (Poland),2019-02-01,33.5
Lisbon (Portugal),2019-02-01,39.1
Bucharest (Romania),2019-02-01,67.6
Stockholm (Sweden),2019-02-01,23.9
Ljubljana (Slovenia),2019-02-01,43.8
Bratislava (Slovakia),2019-02-01,32.6
Vienna (Austria),2019-03-01,26.5
Brussels (Belgium),2019-03-01,32.4
Sofia (Bulgaria),2019-03-01,26.9
Bern (Switzerland),2019-03-01,23.8
Nicosia (Cyprus),2019-03-01,27.1
Prague (Czech Republic),2019-03-01,24.9
Berlin (Germany),2019-03-01,28.6
Copenhagen (Denmark),2019-03-01,17.7
Tallinn (Estonia),2019-03-01,11.2
Athens (Greece),2019-03-01,36.7
Madrid (Spain),2019-03-01,35.5
EU27 (aggregate),2019-03-01,29.3
Helsinki (Finland),2019-03-01,19.4
Paris (France),2019-03-01,36.8
Zagreb (Croatia),2019-03-01,39.7
Budapest (Hungary),2019-03-01,32.0
Dublin (Ireland),2019-03-01,26.4
Reykjavik (Iceland),2019-03-01,7.5
Rome (Italy),2019-03-01,42.6
Vilnius (Lithuania),2019-03-01,19.3
Luxembourg (Luxembourg),2019-03-01,31.4
Riga (Latvia),2019-03-01,19.4
Amsterdam (Netherlands),2019-03-01,27.3
Oslo (Norway),2019-03-01,33.5
Warsaw (Poland),2019-03-01,36.9
Lisbon (Portugal),2019-03-01,27.6
Bucharest (Romania),2019-03-01,60.4
Stockholm (Sweden),2019-03-01,22.7
Ljubljana (Slovenia),2019-03-01,27.9
Bratislava (Slovakia),2019-03-01,25.7
Vienna (Austria),2019-04-01,22.4
Brussels (Belgium),2019-04-01,33.3
Sofia (Bulgaria),2019-04-01,21.3
Bern (Switzerland),2019-04-01,21.1
Nicosia (Cyprus),2019-04-01,23.9
Prague (Czech Republic),2019-04-01,28.6
Berlin (Germany),2019-04-01,24.3
Copenhagen (Denmark),2019-04-01,24.2
Tallinn (Estonia),2019-04-01,20.9
Athens (Greece),2019-04-01,40.0
Madrid (Spain),2019-04-01,26.4
EU27 (aggregate),2019-04-01,29.2
Helsinki (Finland),2019-04-01,28.1
Paris (France),2019-04-01,39.7
Zagreb (Croatia),2019-04-01,35.5
Budapest (Hungary),2019-04-01,29.2
Dublin (Ireland),2019-04-01,39.1
Reykjavik (Iceland),2019-04-01,6.2
Rome (Italy),2019-04-01,39.5
Vilnius (Lithuania),2019-04-01,20.6
Luxembourg (Luxembourg),2019-04-01,29.6
Riga (Latvia),2019-04-01,26.0
Amsterdam (Netherlands),2019-04-01,25.6
Oslo (Norway),2019-04-01,28.4
Warsaw (Poland),2019-04-01,29.9
Lisbon (Portugal),2019-04-01,18.4
Bucharest (Romania),2019-04-01,59.4
Stockholm (Sweden),2019-04-01,27.6
Ljubljana (Slovenia),2019-04-01,23.4
Bratislava (Slovakia),2019-04-01,23.4
Vienna (Austria),2019-05-01,18.6
Brussels (Belgium),2019-05-01,32.7
Sofia (Bulgaria),2019-05-01,16.4
Bern (Switzerland),2019-05-01,17.3
Nicosia (Cyprus),2019-05-01,22.2
Prague (Czech Republic),2019-05-01,26.3
Berlin (Germany),2019-05-01,24.5
Copenhagen (Denmark),2019-05-01,16.4
Tallinn (Estonia),2019-05-01,14.6
Athens (Greece),2019-05-01,39.7
Madrid (Spain),2019-05-01,21.7
EU27 (aggregate),2019-05-01,23.8
Helsinki (Finland),2019-05-01,19.6
Paris (France),2019-05-01,33.5
Zagreb (Croatia),2019-05-01,28.0
Budapest (Hungary),2019-05-01,25.5
Dublin (Ireland),2019-05-01,26.9
Reykjavik (Iceland),2019-05-01,6.7
Rome (Italy),2019-05-01,31.8
Vilnius (Lithuania),2019-05-01,17.2
Luxembourg (Luxembourg),2019-05-01,23.8
Riga (Latvia),2019-05-01,19.9
Valletta (Malta),2019-05-01,27.7
Amsterdam (Netherlands),2019-05-01,22.0
Oslo (Norway),2019-05-01,20.7
Warsaw (Poland),2019-05-01,31.1
Lisbon (Portugal),2019-05-01,18.8
Stockholm (Sweden),2019-05-01,22.7
Ljubljana (Slovenia),2019-05-01,17.6
Bratislava (Slovakia),2019-05-01,19.3
Vienna (Austria),2019-06-01,18.9
Brussels (Belgium),2019-06-01,26.4
Sofia (Bulgaria),2019-06-01,19.2
Bern (Switzerland),2019-06-01,15.5
Nicosia (Cyprus),2019-06-01,19.9
Prague (Czech Republic),2019-06-01,22.8
Berlin (Germany),2019-06-01,26.5
Copenhagen (Denmark),2019-06-01,18.9
Tallinn (Estonia),2019-06-01,9.6
Athens (Greece),2019-06-01,34.0
Madrid (Spain),2019-06-01,23.3
EU27 (aggregate),2019-06-01,22.4
Helsinki (Finland),2019-06-01,17.0
Paris (France),2019-06-01,30.7
Zagreb (Croatia),2019-06-01,29.1
Budapest (Hungary),2019-06-01,23.7
Dublin (Ireland),2019-06-01,17.9
Reykjavik (Iceland),2019-06-01,5.0
Rome (Italy),2019-06-01,35.5
Vilnius (Lithuania),2019-06-01,15.1
Luxembourg (Luxembourg),2019-06-01,23.3
Riga (Latvia),2019-06-01,19.1
Valletta (Malta),2019-06-01,37.4
Amsterdam (Netherlands),2019-06-01,23.7
Oslo (Norway),2019-06-01,21.3
Warsaw (Poland),2019-06-01,22.3
Lisbon (Portugal),2019-06-01,16.5
Stockholm (Sweden),2019-06-01,19.7
Ljubljana (Slovenia),2019-06-01,15.7
Bratislava (Slovakia),2019-06-01,16.7
Vienna (Austria),2019-07-01,19.0
Brussels (Belgium),2019-07-01,21.2
Sofia (Bulgaria),2019-07-01,17.7
Bern (Switzerland),2019-07-01,15.0
Nicosia (Cyprus),2019-07-01,16.5
Prague (Czech Republic),2019-07-01,23.1
Berlin (Germany),2019-07-01,21.6
Copenhagen (Denmark),2019-07-01,14.3
Tallinn (Estonia),2019-07-01,7.2
Athens (Greece),2019-07-01,31.0
Madrid (Spain),2019-07-01,24.8
EU27 (aggregate),2019-07-01,22.1
Helsinki (Finland),2019-07-01,14.2
Paris (France),2019-07-01,29.9
Zagreb (Croatia),2019-07-01,28.5
Budapest (Hungary),2019-07-01,25.8
Dublin (Ireland),2019-07-01,19.1
Reykjavik (Iceland),2019-07-01,4.9
Rome (Italy),2019-07-01,31.7
Vilnius (Lithuania),2019-07-01,16.6
Luxembourg (Luxembourg),2019-07-01,23.8
Riga (Latvia),2019-07-01,12.0
Valletta (Malta),2019-07-01,28.5
Amsterdam (Netherlands),2019-07-01,22.3
Oslo (Norway),2019-07-01,16.1
Warsaw (Poland),2019-07-01,26.7
Lisbon (Portugal),2019-07-01,14.6
Bucharest (Romania),2019-07-01,57.4
Stockholm (Sweden),2019-07-01,17.1
