City,month,NO2
Madrid (Spain),2022-09-01,21.9
EU27 (aggregate),2022-09-01,21.6
Helsinki (Finland),2022-09-01,14.2
Paris (France),2022-09-01,29.6
Zagreb (Croatia),2022-09-01,32.9
Budapest (Hungary),2022-09-01,21.5
Dublin (Ireland),2022-09-01,20.7
Reykjavik (Iceland),2022-09-01,10.5
Rome (Italy),2022-09-01,26.0
Vilnius (Lithuania),2022-09-01,16.2
Luxembourg (Luxembourg),2022-09-01,20.9
Riga (Latvia),2022-09-01,18.7
Valletta (Malta),2022-09-01,25.9
Amsterdam (Netherlands),2022-09-01,25.2
Oslo (Norway),2022-09-01,17.7
Warsaw (Poland),2022-09-01,26.0
Lisbon (Portugal),2022-09-01,16.8
Bucharest (Romania),2022-09-01,31.6
Stockholm (Sweden),2022-09-01,17.0
Ljubljana (Slovenia),2022-09-01,21.5
Bratislava (Slovakia),2022-09-01,14.7
Vienna (Austria),2022-10-01,21.4
Brussels (Belgium),2022-10-01,25.0
Sofia (Bulgaria),2022-10-01,30.2
Bern (Switzerland),2022-10-01,19.4
Nicosia (Cyprus),2022-10-01,22.8
Prague (Czech Republic),2022-10-01,24.7
Berlin (Germany),2022-10-01,25.6
Copenhagen (Denmark),2022-10-01,14.3
Tallinn (Estonia),2022-10-01,9.5
Athens (Greece),2022-10-01,32.3
Madrid (Spain),2022-10-01,36.5
EU27 (aggregate),2022-10-01,26.0
Helsinki (Finland),2022-10-01,14.9
Paris (France),2022-10-01,30.4
Zagreb (Croatia),2022-10-01,37.2
Budapest (Hungary),2022-10-01,27.4
Dublin (Ireland),2022-10-01,18.2
Reykjavik (Iceland),2022-10-01,14.4
Rome (Italy),2022-10-01,35.1
Vilnius (Lithuania),2022-10-01,19.9
Luxembourg (Luxembourg),2022-10-01,22.7
Riga (Latvia),2022-10-01,20.9
Valletta (Malta),2022-10-01,38.3
Amsterdam (Netherlands),2022-10-01,27.7
Oslo (Norway),2022-10-01,19.2
Warsaw (Poland),2022-10-01,29.3
Lisbon (Portugal),2022-10-01,24.6
Bucharest (Romania),2022-10-01,47.0
Stockholm (Sweden),2022-10-01,16.8
Ljubljana (Slovenia),2022-10-01,26.0
Bratislava (Slovakia),2022-10-01,23.2
Vienna (Austria),2022-11-01,23.1
Brussels (Belgium),2022-11-01,23.0
Sofia (Bulgaria),2022-11-01,32.7
Bern (Switzerland),2022-11-01,23.4
Nicosia (Cyprus),2022-11-01,31.3
Prague (Czech Republic),2022-11-01,27.6
Berlin (Germany),2022-11-01,24.9
Copenhagen (Denmark),2022-11-01,12.8
Tallinn (Estonia),2022-11-01,11.9
Athens (Greece),2022-11-01,31.8
Madrid (Spain),2022-11-01,29.6
EU27 (aggregate),2022-11-01,25.1
Helsinki (Finland),2022-11-01,13.7
Paris (France),2022-11-01,27.8
Zagreb (Croatia),2022-11-01,32.3
Budapest (Hungary),2022-11-01,25.4
Dublin (Ireland),2022-11-01,22.9
Reykjavik (Iceland),2022-11-01,14.8
Rome (Italy),2022-11-01,35.9
Vilnius (Lithuania),2022-11-01,15.6
Luxembourg (Luxembourg),2022-11-01,21.8
Riga (Latvia),2022-11-01,19.7
Valletta (Malta),2022-11-01,34.3
Amsterdam (Netherlands),2022-11-01,26.1
Oslo (Norway),2022-11-01,16.3
Warsaw (Poland),2022-11-01,24.4
Lisbon (Portugal),2022-11-01,28.0
Bucharest (Romania),2022-11-01,39.1
Stockholm (Sweden),2022-11-01,15.5
Ljubljana (Slovenia),2022-11-01,26.4
Bratislava (Slovakia),2022-11-01,19.9
Vienna (Austria),2022-12-01,23.0
Brussels (Belgium),2022-12-01,30.4
Sofia (Bulgaria),2022-12-01,35.0
Bern (Switzerland),2022-12-01,27.4
Nicosia (Cyprus),2022-12-01,33.9
Prague (Czech Republic),2022-12-01,27.5
Berlin (Germany),2022-12-01,24.2
Copenhagen (Denmark),2022-12-01,17.6
Tallinn (Estonia),2022-12-01,14.3
Athens (Greece),2022-12-01,34.3
Madrid (Spain),2022-12-01,33.9
EU27 (aggregate),2022-12-01,27.6
Helsinki (Finland),2022-12-01,23.8
Paris (France),2022-12-01,30.2
Zagreb (Croatia),2022-12-01,33.7
Budapest (Hungary),2022-12-01,29.9
Dublin (Ireland),2022-12-01,28.0
Reykjavik (Iceland),2022-12-01,26.9
Rome (Italy),2022-12-01,39.9
Vilnius (Lithuania),2022-12-01,18.2
Luxembourg (Luxembourg),2022-12-01,23.9
Riga (Latvia),2022-12-01,25.9
Valletta (Malta),2022-12-01,35.8
Amsterdam (Netherlands),2022-12-01,30.6
Oslo (Norway),2022-12-01,30.9
Warsaw (Poland),2022-12-01,25.9
Lisbon (Portugal),2022-12-01,22.8
Bucharest (Romania),2022-12-01,35.4
Stockholm (Sweden),2022-12-01,19.6
Ljubljana (Slovenia),2022-12-01,28.8
Bratislava (Slovakia),2022-12-01,18.3
Vienna (Austria),2023-01-01,20.2
Brussels (Belgium),2023-01-01,24.1
Sofia (Bulgaria),2023-01-01,25.2
Bern (Switzerland),2023-01-01,24.4
Nicosia (Cyprus),2023-01-01,32.3
Prague (Czech Republic),2023-01-01,21.5
Berlin (Germany),2023-01-01,21.5
Copenhagen (Denmark),2023-01-01,12.6
Tallinn (Estonia),2023-01-01,12.8
Athens (Greece),2023-01-01,33.5
Madrid (Spain),2023-01-01,33.5
EU27 (aggregate),2023-01-01,24.1
Helsinki (Finland),2023-01-01,16.2
Paris (France),2023-01-01,26.4
Zagreb (Croatia),2023-01-01,26.4
Budapest (Hungary),2023-01-01,24.4
Dublin (Ireland),2023-01-01,24.6
Reykjavik (Iceland),2023-01-01,16.0
Rome (Italy),2023-01-01,36.7
Vilnius (Lithuania),2023-01-01,16.1
Luxembourg (Luxembourg),2023-01-01,17.8
Riga (Latvia),2023-01-01,20.1
Valletta (Malta),2023-01-01,34.7
Amsterdam (Netherlands),2023-01-01,20.7
Oslo (Norway),2023-01-01,32.0
Warsaw (Poland),2023-01-01,21.1
Lisbon (Portugal),2023-01-01,27.7
Bucharest (Romania),2023-01-01,34.7
Stockholm (Sweden),2023-01-01,16.2
Ljubljana (Slovenia),2023-01-01,32.9
Bratislava (Slovakia),2023-01-01,18.2
Vienna (Austria),2023-02-01,19.5
Brussels (Belgium),2023-02-01,32.5
Sofia (Bulgaria),2023-02-01,26.3
Bern (Switzerland),2023-02-01,29.7
Nicosia (Cyprus),2023-02-01,32.5
Prague (Czech Republic),2023-02-01,26.3
Berlin (Germany),2023-02-01,26.1
Copenhagen (Denmark),2023-02-01,14.6
Tallinn (Estonia),2023-02-01,13.1
Athens (Greece),2023-02-01,36.2
Madrid (Spain),2023-02-01,38.2
EU27 (aggregate),2023-02-01,28.0
Helsinki (Finland),2023-02-01,16.2
Paris (France),2023-02-01,36.6
Zagreb (Croatia),2023-02-01,36.4
Budapest (Hungary),2023-02-01,30.8
Dublin (Ireland),2023-02-01,23.6
Reykjavik (Iceland),2023-02-01,8.2
Rome (Italy),2023-02-01,42.8
Vilnius (Lithuania),2023-02-01,21.8
Luxembourg (Luxembourg),2023-02-01,26.9
Riga (Latvia),2023-02-01,19.8
Valletta (Malta),2023-02-01,38.6
Amsterdam (Netherlands),2023-02-01,29.3
Oslo (Norway),2023-02-01,32.5
Warsaw (Poland),2023-02-01,24.8
Lisbon (Portugal),2023-02-01,29.8
Bucharest (Romania),2023-02-01,39.8
Stockholm (Sweden),2023-02-01,18.6
Ljubljana (Slovenia),2023-02-01,34.6
Bratislava (Slovakia),2023-02-01,20.5
Vienna (Austria),2023-03-01,23.0
Brussels (Belgium),2023-03-01,24.6
Sofia (Bulgaria),2023-03-01,26.8
Bern (Switzerland),2023-03-01,21.6
Nicosia (Cyprus),2023-03-01,23.0
Prague (Czech Republic),2023-03-01,24.5
Berlin (Germany),2023-03-01,23.9
Copenhagen (Denmark),2023-03-01,16.4
Tallinn (Estonia),2023-03-01,10.7
Athens (Greece),2023-03-01,35.1
Madrid (Spain),2023-03-01,27.2
EU27 (aggregate),2023-03-01,24.2
Helsinki (Finland),2023-03-01,15.5
Paris (France),2023-03-01,25.3
Zagreb (Croatia),2023-03-01,29.6
Budapest (Hungary),2023-03-01,27.7
Dublin (Ireland),2023-03-01,23.7
Reykjavik (Iceland),2023-03-01,9.2
Rome (Italy),2023-03-01,30.9
Vilnius (Lithuania),2023-03-01,18.9
Luxembourg (Luxembourg),2023-03-01,25.4
Riga (Latvia),2023-03-01,19.7
Valletta (Malta),2023-03-01,25.9
Amsterdam (Netherlands),2023-03-01,21.5
Oslo (Norway),2023-03-01,28.3
Warsaw (Poland),2023-03-01,28.5
Lisbon (Portugal),2023-03-01,23.6
Bucharest (Romania),2023-03-01,35.1
Stockholm (Sweden),2023-03-01,17.7
Ljubljana (Slovenia),2023-03-01,29.4
Bratislava (Slovakia),2023-03-01,20.8
Vienna (Austria),2023-04-01,16.9
Brussels (Belgium),2023-04-01,25.1
Sofia (Bulgaria),2023-04-01,18.3
Bern (Switzerland),2023-04-01,15.1
Nicosia (Cyprus),2023-04-01,19.2
Prague (Czech Republic),2023-04-01,22.6
Berlin (Germany),2023-04-01,19.8
Copenhagen (Denmark),2023-04-01,13.7
Tallinn (Estonia),2023-04-01,16.1
Athens (Greece),2023-04-01,30.9
Madrid (Spain),2023-04-01,21.6
EU27 (aggregate),2023-04-01,20.8
Helsinki (Finland),2023-04-01,15.9
Paris (France),2023-04-01,24.6
Zagreb (Croatia),2023-04-01,27.3
Budapest (Hungary),2023-04-01,22.5
Dublin (Ireland),2023-04-01,26.0
Reykjavik (Iceland),2023-04-01,6.3
Rome (Italy),2023-04-01,24.9
Vilnius (Lithuania),2023-04-01,15.7
Luxembourg (Luxembourg),2023-04-01,19.0
Riga (Latvia),2023-04-01,17.8
Valletta (Malta),2023-04-01,25.0
Amsterdam (Netherlands),2023-04-01,18.6
Oslo (Norway),2023-04-01,16.8
Warsaw (Poland),2023-04-01,21.6
Lisbon (Portugal),2023-04-01,21.1
Bucharest (Romania),2023-04-01,26.5
Stockholm (Sweden),2023-04-01,15.2
Ljubljana (Slovenia),2023-04-01,22.1
Bratislava (Slovakia),2023-04-01,13.9
Vienna (Austria),2023-05-01,14.6
Brussels (Belgium),2023-05-01,22.0
Sofia (Bulgaria),2023-05-01,14.7
Bern (Switzerland),2023-05-01,14.0
Nicosia (Cyprus),2023-05-01,16.8
Prague (Czech Republic),2023-05-01,18.6
Berlin (Germany),2023-05-01,16.1
Copenhagen (Denmark),2023-05-01,13.0
Tallinn (Estonia),2023-05-01,11.3
Athens (Greece),2023-05-01,31.8
Madrid (Spain),2023-05-01,16.3
EU27 (aggregate),2023-05-01,18.9
Helsinki (Finland),2023-05-01,14.3
Paris (France),2023-05-01,20.0
Zagreb (Croatia),2023-05-01,24.5
Budapest (Hungary),2023-05-01,17.8
Dublin (Ireland),2023-05-01,23.8
Reykjavik (Iceland),2023-05-01,5.4
Rome (Italy),2023-05-01,25.1
Vilnius (Lithuania),2023-05-01,20.5
Luxembourg (Luxembourg),2023-05-01,15.7
Riga (Latvia),2023-05-01,18.6
Valletta (Malta),2023-05-01,22.3
Amsterdam (Netherlands),2023-05-01,16.6
Oslo (Norway),2023-05-01,13.7
Warsaw (Poland),2023-05-01,22.0
Lisbon (Portugal),2023-05-01,16.4
Bucharest (Romania),2023-05-01,31.5
Stockholm (Sweden),2023-05-01,15.4
Ljubljana (Slovenia),2023-05-01,18.4
Bratislava (Slovakia),2023-05-01,12.2
Vienna (Austria),2023-06-01,15.8
Brussels (Belgium),2023-06-01,22.4
Sofia (Bulgaria),2023-06-01,14.4
Bern (Switzerland),2023-06-01,15.5
Nicosia (Cyprus),2023-06-01,14.8
Prague (Czech Republic),2023-06-01,20.6
Berlin (Germany),2023-06-01,16.7
Copenhagen (Denmark),2023-06-01,10.3
Tallinn (Estonia),2023-06-01,12.1
Athens (Greece),2023-06-01,33.0
Madrid (Spain),2023-06-01,20.4
EU27 (aggregate),2023-06-01,19.1
Helsinki (Finland),2023-06-01,13.9
Paris (France),2023-06-01,22.2
Zagreb (Croatia),2023-06-01,27.5
Budapest (Hungary),2023-06-01,18.7
Dublin (Ireland),2023-06-01,24.5
Reykjavik (Iceland),2023-06-01,6.7
Rome (Italy),2023-06-01,23.4
Vilnius (Lithuania),2023-06-01,16.4
Luxembourg (Luxembourg),2023-06-01,17.5
Riga (Latvia),2023-06-01,20.4
Valletta (Malta),2023-06-01,24.7
Amsterdam (Netherlands),2023-06-01,15.7
Oslo (Norway),2023-06-01,12.8
Warsaw (Poland),2023-06-01,24.7
Lisbon (Portugal),2023-06-01,13.7
Bucharest (Romania),2023-06-01,27.9
Stockholm (Sweden),2023-06-01,13.7
Ljubljana (Slovenia),2023-06-01,16.5
Bratislava (Slovakia),2023-06-01,14.1
Vienna (Austria),2023-07-01,13.9
Brussels (Belgium),2023-07-01,15.1
Sofia (Bulgaria),2023-07-01,15.5
Bern (Switzerland),2023-07-01,11.8
Nicosia (Cyprus),2023-07-01,16.8
Prague (Czech Republic),2023-07-01,16.4
Berlin (Germany),2023-07-01,16.5
Copenhagen (Denmark),2023-07-01,9.6
Tallinn (Estonia),2023-07-01,5.1
Athens (Greece),2023-07-01,35.9
Madrid (Spain),2023-07-01,20.0
EU27 (aggregate),2023-07-01,17.3
Helsinki (Finland),2023-07-01,10.0
Paris (France),2023-07-01,16.9
Zagreb (Croatia),2023-07-01,28.9
Budapest (Hungary),2023-07-01,17.6
Dublin (Ireland),2023-07-01,13.1
Reykjavik (Iceland),2023-07-01,8.7
Rome (Italy),2023-07-01,21.8
Vilnius (Lithuania),2023-07-01,16.1
Luxembourg (Luxembourg),2023-07-01,14.4
Riga (Latvia),2023-07-01,20.3
Valletta (Malta),2023-07-01,30.1
Amsterdam (Netherlands),2023-07-01,14.6
Oslo (Norway),2023-07-01,9.7
Warsaw (Poland),2023-07-01,25.6
Lisbon (Portugal),2023-07-01,9.8
Bucharest (Romania),2023-07-01,28.0
Stockholm (Sweden),2023-07-01,9.8
Ljubljana (Slovenia),2023-07-01,13.8
Bratislava (Slovakia),2023-07-01,11.9
Vienna (Austria),2023-08-01,15.6
Brussels (Belgium),2023-08-01,18.9
Sofia (Bulgaria),2023-08-01,17.8
Bern (Switzerland),2023-08-01,14.9
Nicosia (Cyprus),2023-08-01,12.0
Prague (Czech Republic),2023-08-01,18.5
Berlin (Germany),2023-08-01,17.0
Copenhagen (Denmark),2023-08-01,13.0
Tallinn (Estonia),2023-08-01,6.4
Athens (Greece),2023-08-01,23.9
Madrid (Spain),2023-08-01,18.2
EU27 (aggregate),2023-08-01,17.8
Helsinki (Finland),2023-08-01,11.6
Paris (France),2023-08-01,18.4
Zagreb (Croatia),2023-08-01,27.5
Budapest (Hungary),2023-08-01,21.7
Dublin (Ireland),2023-08-01,15.0
Reykjavik (Iceland),2023-08-01,7.4
Rome (Italy),2023-08-01,19.6
Vilnius (Lithuania),2023-08-01,16.8
Luxembourg (Luxembourg),2023-08-01,13.5
Riga (Latvia),2023-08-01,23.5
Valletta (Malta),2023-08-01,22.2
Amsterdam (Netherlands),2023-08-01,16.4
Oslo (Norway),2023-08-01,12.6
Warsaw (Poland),2023-08-01,27.5
Lisbon (Portugal),2023-08-01,13.1
Bucharest (Romania),2023-08-01,30.2
Stockholm (Sweden),2023-08-01,11.3
Ljubljana (Slovenia),2023-08-01,15.9
Bratislava (Slovakia),2023-08-01,15.0
Vienna (Austria),2023-09-01,20.8
Brussels (Belgium),2023-09-01,24.6
Sofia (Bulgaria),2023-09-01,21.7
Bern (Switzerland),2023-09-01,17.8
Nicosia (Cyprus),2023-09-01,20.7
Prague (Czech Republic),2023-09-01,26.0
Berlin (Germany),2023-09-01,25.7
Copenhagen (Denmark),2023-09-01,17.5
Tallinn (Estonia),2023-09-01,6.6
Athens (Greece),2023-09-01,33.1
Madrid (Spain),2023-09-01,27.9
EU27 (aggregate),2023-09-01,23.6
Helsinki (Finland),2023-09-01,11.3
Paris (France),2023-09-01,32.3
Zagreb (Croatia),2023-09-01,34.1
Budapest (Hungary),2023-09-01,26.4
Dublin (Ireland),2023-09-01,23.9
Reykjavik (Iceland),2023-09-01,10.1
Rome (Italy),2023-09-01,28.4
Vilnius (Lithuania),2023-09-01,20.7
Luxembourg (Luxembourg),2023-09-01,20.1
Riga (Latvia),2023-09-01,28.8
Valletta (Malta),2023-09-01,25.8
Amsterdam (Netherlands),2023-09-01,24.0
Oslo (Norway),2023-09-01,12.6
Warsaw (Poland),2023-09-01,33.8
Lisbon (Portugal),2023-09-01,19.3
Bucharest (Romania),2023-09-01,31.4
Stockholm (Sweden),2023-09-01,13.7
Ljubljana (Slovenia),2023-09-01,19.6
Bratislava (Slovakia),2023-09-01,17.9
Vienna (Austria),2023-10-01,20.1
Brussels (Belgium),2023-10-01,21.7
Sofia (Bulgaria),2023-10-01,30.4
Bern (Switzerland),2023-10-01,19.9
Nicosia (Cyprus),2023-10-01,30.1
Prague (Czech Republic),2023-10-01,23.6
Berlin (Germany),2023-10-01,20.2
Copenhagen (Denmark),2023-10-01,11.4
Tallinn (Estonia),2023-10-01,8.7
Athens (Greece),2023-10-01,37.2
Madrid (Spain),2023-10-01,28.6
EU27 (aggregate),2023-10-01,24.1
Helsinki (Finland),2023-10-01,11.0
Paris (France),2023-10-01,31.5
Zagreb (Croatia),2023-10-01,34.7
Budapest (Hungary),2023-10-01,26.6
Dublin (Ireland),2023-10-01,26.7
Reykjavik (Iceland),2023-10-01,11.7
Rome (Italy),2023-10-01,31.4
Vilnius (Lithuania),2023-10-01,18.9
Luxembourg (Luxembourg),2023-10-01,20.0
Riga (Latvia),2023-10-01,20.4
Valletta (Malta),2023-10-01,32.7
Amsterdam (Netherlands),2023-10-01,21.4
Oslo (Norway),2023-10-01,15.8
Warsaw (Poland),2023-10-01,23.1
Lisbon (Portugal),2023-10-01,26.2
Bucharest (Romania),2023-10-01,39.9
Stockholm (Sweden),2023-10-01,12.0
Ljubljana (Slovenia),2023-10-01,23.2
Bratislava (Slovakia),2023-10-01,18.0
Vienna (Austria),2023-11-01,20.0
Brussels (Belgium),2023-11-01,22.1
Sofia (Bulgaria),2023-11-01,30.1
Bern (Switzerland),2023-11-01,20.5
Nicosia (Cyprus),2023-11-01,27.3
Prague (Czech Republic),2023-11-01,21.3
Berlin (Germany),2023-11-01,21.0
Copenhagen (Denmark),2023-11-01,14.8
Tallinn (Estonia),2023-11-01,13.5
Athens (Greece),2023-11-01,35.4
Madrid (Spain),2023-11-01,28.2
EU27 (aggregate),2023-11-01,24.4
Helsinki (Finland),2023-11-01,15.6
Paris (France),2023-11-01,24.7
Zagreb (Croatia),2023-11-01,38.1
Budapest (Hungary),2023-11-01,25.5
Dublin (Ireland),2023-11-01,25.8
Reykjavik (Iceland),2023-11-01,13.3
Rome (Italy),2023-11-01,32.0
Vilnius (Lithuania),2023-11-01,20.3
Luxembourg (Luxembourg),2023-11-01,15.7
Riga (Latvia),2023-11-01,27.3
Valletta (Malta),2023-11-01,30.7
Amsterdam (Netherlands),2023-11-01,22.9
Oslo (Norway),2023-11-01,17.7
Warsaw (Poland),2023-11-01,23.8
Lisbon (Portugal),2023-11-01,24.5
Bucharest (Romania),2023-11-01,33.5
Stockholm (Sweden),2023-11-01,16.0
Ljubljana (Slovenia),2023-11-01,31.1
Bratislava (Slovakia),2023-11-01,17.1
Vienna (Austria),2023-12-01,24.5
Brussels (Belgium),2023-12-01,21.4
Sofia (Bulgaria),2023-12-01,31.0
Bern (Switzerland),2023-12-01,26.4
Nicosia (Cyprus),2023-12-01,36.3
Prague (Czech Republic),2023-12-01,24.1
Berlin (Germany),2023-12-01,21.0
Copenhagen (Denmark),2023-12-01,11.8
Tallinn (Estonia),2023-12-01,14.0
Athens (Greece),2023-12-01,37.1
Madrid (Spain),2023-12-01,38.9
EU27 (aggregate),2023-12-01,26.8
Helsinki (Finland),2023-12-01,18.4
Paris (France),2023-12-01,25.3
Zagreb (Croatia),2023-12-01,41.3
Budapest (Hungary),2023-12-01,34.4
Dublin (Ireland),2023-12-01,19.2
Reykjavik (Iceland),2023-12-01,18.2
Rome (Italy),2023-12-01,39.9
Vilnius (Lithuania),2023-12-01,21.5
Luxembourg (Luxembourg),2023-12-01,16.7
Riga (Latvia),2023-12-01,31.5
Valletta (Malta),2023-12-01,28.9
Amsterdam (Netherlands),2023-12-01,21.7
Oslo (Norway),2023-12-01,31.0
Warsaw (Poland),2023-12-01,24.0
Lisbon (Portugal),2023-12-01,28.8
Bucharest (Romania),2023-12-01,37.0
Stockholm (Sweden),2023-12-01,17.3
Ljubljana (Slovenia),2023-12-01,36.0
Bratislava (Slovakia),2023-12-01,21.2
Vienna (Austria),2024-01-01,24.7
Brussels (Belgium),2024-01-01,27.6
Sofia (Bulgaria),2024-01-01,31.1
Bern (Switzerland),2024-01-01,24.2
Nicosia (Cyprus),2024-01-01,28.8
Prague (Czech Republic),2024-01-01,26.8
Berlin (Germany),2024-01-01,21.8
Copenhagen (Denmark),2024-01-01,12.8
Tallinn (Estonia),2024-01-01,13.4
Athens (Greece),2024-01-01,33.6
Madrid (Spain),2024-01-01,33.9
EU27 (aggregate),2024-01-01,27.6
Helsinki (Finland),2024-01-01,20.0
Paris (France),2024-01-01,30.8
Zagreb (Croatia),2024-01-01,47.1
Budapest (Hungary),2024-01-01,32.7
Dublin (Ireland),2024-01-01,24.3
Reykjavik (Iceland),2024-01-01,9.8
Rome (Italy),2024-01-01,37.1
Vilnius (Lithuania),2024-01-01,22.2
Luxembourg (Luxembourg),2024-01-01,23.5
Riga (Latvia),2024-01-01,28.6
Amsterdam (Netherlands),2024-01-01,23.9
Oslo (Norway),2024-01-01,43.9
Warsaw (Poland),2024-01-01,24.0
Lisbon (Portugal),2024-01-01,26.2
Bucharest (Romania),2024-01-01,37.6
Stockholm (Sweden),2024-01-01,17.9
Ljubljana (Slovenia),2024-01-01,47.2
Bratislava (Slovakia),2024-01-01,20.0
Vienna (Austria),2024-02-01,20.0
Brussels (Belgium),2024-02-01,20.3
Sofia (Bulgaria),2024-02-01,29.9
Bern (Switzerland),2024-02-01,24.2
Nicosia (Cyprus),2024-02-01,28.9
Prague (Czech Republic),2024-02-01,22.4
Berlin (Germany),2024-02-01,19.8
Copenhagen (Denmark),2024-02-01,12.7
Tallinn (Estonia),2024-02-01,11.1
Athens (Greece),2024-02-01,34.1
Madrid (Spain),2024-02-01,27.9
EU27 (aggregate),2024-02-01,24.6
Helsinki (Finland),2024-02-01,16.8
Paris (France),2024-02-01,23.4
Zagreb (Croatia),2024-02-01,44.1
Budapest (Hungary),2024-02-01,24.6
Dublin (Ireland),2024-02-01,24.8
Reykjavik (Iceland),2024-02-01,13.2
Rome (Italy),2024-02-01,39.3
Vilnius (Lithuania),2024-02-01,21.3
Luxembourg (Luxembourg),2024-02-01,16.4
Riga (Latvia),2024-02-01,26.0
Valletta (Malta),2024-02-01,24.7
Amsterdam (Netherlands),2024-02-01,21.2
Oslo (Norway),2024-02-01,24.1
Warsaw (Poland),2024-02-01,22.0
Lisbon (Portugal),2024-02-01,22.1
Bucharest (Romania),2024-02-01,35.7
Stockholm (Sweden),2024-02-01,16.7
Ljubljana (Slovenia),2024-02-01,39.4
Bratislava (Slovakia),2024-02-01,17.8
Vienna (Austria),2024-03-01,18.4
Brussels (Belgium),2024-03-01,24.4
Sofia (Bulgaria),2024-03-01,26.1
Bern (Switzerland),2024-03-01,19.2
Nicosia (Cyprus),2024-03-01,24.2
Prague (Czech Republic),2024-03-01,24.7
Berlin (Germany),2024-03-01,21.0
Copenhagen (Denmark),2024-03-01,13.9
Tallinn (Estonia),2024-03-01,11.3
Athens (Greece),2024-03-01,33.6
Madrid (Spain),2024-03-01,21.2
EU27 (aggregate),2024-03-01,22.8
Helsinki (Finland),2024-03-01,16.3
Paris (France),2024-03-01,26.9
Zagreb (Croatia),2024-03-01,37.9
Budapest (Hungary),2024-03-01,22.8
Dublin (Ireland),2024-03-01,23.8
Reykjavik (Iceland),2024-03-01,5.1
Rome (Italy),2024-03-01,34.0
Vilnius (Lithuania),2024-03-01,19.2
Luxembourg (Luxembourg),2024-03-01,19.5
Riga (Latvia),2024-03-01,23.9
Valletta (Malta),2024-03-01,20.2
Amsterdam (Netherlands),2024-03-01,21.3
Oslo (Norway),2024-03-01,17.5
Warsaw (Poland),2024-03-01,22.2
Lisbon (Portugal),2024-03-01,19.0
Bucharest (Romania),2024-03-01,32.9
Stockholm (Sweden),2024-03-01,14.0
Ljubljana (Slovenia),2024-03-01,28.7
Bratislava (Slovakia),2024-03-01,15.2
Vienna (Austria),2024-04-01,16.2
